year,county_code,district_code,school_code,county_name,district_name,school_name,district_type,school_type,ed_option_type,nslp_status,charter,charter_num,charter_funding,irc,low_grade,high_grade,total_enrollment,frpm,foster,tribal_foster_youth,homeless,migrant_program,direct_certification,unduplicated_frpm_eligible_count,english_learner,calpads_upc_count,calpads_fall1_cert,charter_dummy,school_type_num,ed_option_type_num,nslp_status_num,charter_funding_num,irc_num,low_grade_num,high_grade_num,calpads_fall1_cert_num,cds
23,19,64469,0128736,Los Angeles,Duarte Unified,Opportunities for Learning - Duarte,Unified School District,K-12 Schools (Public),Traditional,,Yes,1599,Directly funded,Y,K,12,88,50,0,0,1,0,47,55,9,55,Y,1,12,10,,1,1,14,12,1,19644690128736
23,19,64469,0139535,Los Angeles,Duarte Unified,"Options For Youth - Duarte, Inc",Unified School District,High Schools (Public),Traditional,,Yes,2060,Directly funded,Y,7,12,2354,1950,55,0,71,0,1423,2057,329,2068,Y,1,7,10,,1,1,7,12,1,19644690139535
23,19,64469,0000000,Los Angeles,Duarte Unified,,Unified School District,,,,,,,,,,3036,1571,24,0,100,1,1242,1670,695,1879,Y,,,,,,,,,1,19644690000000
23,19,64477,0000000,Los Angeles,Eastside Union Elementary,,Elementary School District,,,,,,,,,,3094,2782,133,0,124,18,1828,2809,643,2853,Y,,,,,,,,,1,19644770000000
23,19,64485,0000000,Los Angeles,East Whittier City Elementary,,Elementary School District,,,,,,,,,,7717,4252,43,0,170,0,2485,4400,666,4498,Y,,,,,,,,,1,19644850000000
23,19,64501,0000000,Los Angeles,El Monte City,,Elementary School District,,,,,,,,,,7045,5848,37,0,496,81,3723,5920,2444,6154,Y,,,,,,,,,1,19645010000000
23,19,64519,0000000,Los Angeles,El Monte Union High,,High School District,,,,,,,,,,7882,6883,37,0,158,146,4420,6940,1774,7028,Y,,,,,,,,,1,19645190000000
23,19,64527,0000000,Los Angeles,El Rancho Unified,,Unified School District,,,,,,,,,,7242,5141,69,0,71,0,3296,6044,1270,6252,Y,,,,,,,,,1,19645270000000
23,19,64535,0000000,Los Angeles,El Segundo Unified,,Unified School District,,,,,,,,,,3508,42,2,0,8,0,333,375,98,447,Y,,,,,,,,,1,19645350000000
23,19,64550,0000000,Los Angeles,Garvey Elementary,,Elementary School District,,,,,,,,,,4276,3056,7,0,22,2,2332,3059,1799,3432,Y,,,,,,,,,1,19645500000000
